Year,StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
2017,"NY",36,16,742552,83180,79227,83098,92293,119914,64596,130321,89923
2017,"NY",36,17,746412,142655,112288,135081,128459,78349,34188,72509,42883
2017,"NY",36,18,730114,153730,127088,141697,140343,58973,24456,55817,28010
2017,"NY",36,19,700975,149115,155707,143435,167335,32641,13933,25651,13158
2017,"NY",36,20,732130,153635,128754,149348,148408,54863,19330,56523,21269
2017,"NY",36,21,705669,176993,147228,164663,157262,29147,8564,16864,4948
2017,"NY",36,22,696819,163540,145883,155371,159659,27803,9217,26067,9279
2017,"NY",36,23,702026,167589,144435,164640,157719,29607,8159,21885,7992
2017,"NY",36,24,707889,155500,134382,153048,151630,40949,14472,42244,15664
2017,"NY",36,25,719033,139338,121084,137233,138911,62422,23287,66288,30470
2017,"NY",36,26,714521,134198,112439,127624,130890,71332,26348,76501,35189
2017,"NY",36,27,718515,170116,160181,162537,178430,18652,7622,14393,6584
2017,"NC",37,1,759049,102169,76490,99387,89961,115244,66549,121779,87470
2017,"NC",37,5,758376,158823,134972,154559,153361,49038,22565,55502,29556
2017,"NC",37,2,835806,166224,125259,168264,138745,76645,36816,80804,43049
2017,"NC",37,3,755647,169795,112685,134466,124420,72249,32458,69906,39668
2017,"NC",37,4,856104,160431,96427,153411,109225,118442,43373,121415,53380
2017,"NC",37,6,768546,138913,127603,138291,143831,69840,35660,73326,41082
2017,"NC",37,7,800096,156615,133105,155332,154079,59913,36640,60081,44331
2017,"NC",37,8,789484,153314,106085,142855,117471,93091,39484,89169,48015
2017,"NC",37,9,788020,142895,112424,139884,124602,88597,41401,86261,51956
2017,"NC",37,10,760410,157033,141292,156057,162531,46716,20321,49602,26858
2017,"NC",37,11,759358,164166,169562,161549,192436,28365,11217,20586,11477
2017,"NC",37,12,860866,125299,71758,120577,79591,158077,58417,170965,76182
2017,"NC",37,13,781657,142889,123211,144123,138298,75279,32702,81447,43708
2017,"ND",38,0,755393,201896,132475,182547,137198,43164,10765,35667,11681
2017,"OH",39,1,740851,149366,110866,144443,124549,71748,27699,76932,35248
2017,"OH",39,2,728153,175693,132708,170986,150427,30272,16567,29428,22072
2017,"OH",39,3,782878,129844,73591,128765,87377,129368,45376,133318,55239
2017,"OH",39,4,710603,173424,142076,168446,156363,25117,11612,23500,10065
2017,"OH",39,5,717547,181820,141438,176221,156596,24371,8526,20693,7882
2017,"OH",39,6,696153,170871,157693,163563,169636,15677,5454,8824,4435
2017,"OH",39,7,725665,180827,149153,175365,165501,17448,7402,19779,10190
2017,"OH",39,8,730445,177758,136936,177549,151877,32057,10733,29621,13914
2017,"OH",39,9,720715,141391,117827,135664,134514,70108,23374,68339,29498
2017,"OH",39,10,721456,149261,119686,144586,136933,55270,25736,57708,32276
2017,"OH",39,11,675475,65780,63084,66482,71540,117987,68200,129395,93007
2017,"OH",39,12,780529,194708,140158,186199,154662,39260,13322,37928,14292
2017,"OH",39,13,715559,151672,132237,149285,153946,45274,17515,44414,21216
2017,"OH",39,14,724790,167430,152511,158984,174063,23870,11682,22935,13315
2017,"OH",39,15,772776,204411,145007,197328,154742,30029,8348,24673,8238
2017,"OH",39,16,715014,169282,154317,166026,174630,20427,6599,15951,7782
2017,"OK",40,1,803883,162084,117808,159608,133787,83165,28597,85107,33727
2017,"OK",40,2,744806,122624,120722,117088,131653,89913,37431,84021,41354
2017,"OK",40,3,774066,178718,129703,166546,138612,63306,21047,54106,22028
2017,"OK",40,4,789947,175457,119466,167777,133099,73567,23835,70006,26740
2017,"OK",40,5,818162,170838,106698,163970,121234,90048,33959,91367,40048
2017,"OR",41,1,844175,194242,140370,186186,154219,63229,21335,61219,23375
2017,"OR",41,2,821129,196341,171986,184747,186167,29773,13221,25949,12945
2017,"OR",41,3,842158,199540,128527,194359,138265,62712,24935,65822,27998
2017,"OR",41,4,803611,185664,164974,178945,180261,34205,11607,35916,12039
2017,"OR",41,5,831703,196720,154960,186282,174487,43223,16452,44530,15049
2017,"PA",42,1,728366,105618,61791,92982,71802,132130,55643,139136,69264
2017,"PA",42,2,726135,71830,43326,81581,49007,141695,74830,154754,109112
2017,"PA",42,3,691184,161132,149738,156021,164432,23804,7653,19963,8441
2017,"PA",42,4,729945,164314,141360,161122,157138,39959,13801,37724,14527
2017,"PA",42,5,696063,176512,150141,161980,161120,23384,6606,13204,3116
2017,"PA",42,6,728576,160618,142318,156633,159213,43604,12539,38892,14759
2017,"PA",42,7,725762,161076,144905,153680,162387,36313,14929,35891,16581
2017,"PA",42,8,713998,158418,148819,151193,165852,30424,14072,29990,15230
2017,"PA",42,12,689237,153797,158891,145639,175909,19944,7367,19987,7703
2017,"PA",42,9,687620,166334,151823,160162,169747,13741,6531,14066,5216
2017,"PA",42,10,694398,161549,158558,154524,168919,20441,7180,16348,6879
2017,"PA",42,11,701056,155857,144486,150615,166341,31375,11077,30133,11172
2017,"PA",42,13,728475,122569,100134,126365,120497,88784,36884,85604,47638
2017,"PA",42,14,687028,130430,107185,125788,125629,64368,27062,68762,37804
2017,"PA",42,15,734824,161698,137497,163228,154405,45729,14646,43522,14099
2017,"PA",42,16,731802,167229,127000,166331,144137,48163,14631,47191,17120
2017,"PA",42,17,697535,156049,144058,147323,161041,36396,12595,27450,12623
2017,"PA",42,18,713533,163721,154157,159147,182660,20921,8362,18781,5784
2017,"RI",44,1,539250,106652,92689,108071,108563,45386,14838,47318,15733
2017,"RI",44,2,520389,119277,100404,114034,116568,25727,8225,25148,11006
2017,"SC",45,1,782340,154526,126636,156291,143884,64966,30324,67421,38292
2017,"SC",45,2,713488,137353,108902,131788,122511,69884,30649,71945,40456
2017,"SC",45,3,687378,137654,121316,134339,132516,54967,25105,51199,30282
2017,"SC",45,4,731886,149667,112337,148133,127085,63862,28055,66381,36366
2017,"SC",45,5,718465,132939,109852,129512,121469,69371,35964,74026,45332
2017,"SC",45,6,670725,80479,54489,68985,57780,125144,65417,130538,87893
2017,"SC",45,7,720087,112154,120367,111286,135969,76833,37690,77117,48671
2017,"SD",46,0,869666,210673,159919,197371,168618,53117,14720,49988,15260
2017,"TN",47,1,714912,170391,157002,167855,175633,16308,6738,14739,6246
2017,"TN",47,2,747673,182095,141237,181327,161070,28632,11577,28064,13671
2017,"TN",47,3,733082,162268,140900,158697,158486,35939,17064,38609,21119
2017,"TN",47,4,782024,192628,132692,189218,147831,45219,14442,43298,16696
2017,"TN",47,5,774096,164023,95135,160391,107491,81194,34669,87681,43512
2017,"TN",47,6,772984,190153,154178,187663,171875,24325,11169,22518,11103
2017,"TN",47,7,778057,190416,133620,185132,146240,43628,17732,41892,19397
2017,"TN",47,8,716130,139176,120516,136027,136273,56412,30539,61646,35541
2017,"TN",47,9,697026,53458,36798,51360,42336,168168,71694,174187,99025
2017,"TX",48,1,717376,159196,113442,156389,123597,52666,25467,55233,31386
2017,"TX",48,2,772262,159729,105281,145610,112075,86793,35077,87893,39804
2017,"TX",48,3,870763,177222,118992,171161,129225,94652,36639,102094,40778
2017,"TX",48,4,747188,170176,128895,163681,144432,46058,21800,47432,24714
2017,"TX",48,5,769579,181568,117231,169940,126408,64382,23475,61887,24688
2017,"TX",48,6,792043,154083,100292,148725,111952,95817,35535,102108,43531
2017,"TX",48,7,800081,164554,98214,155307,100014,106199,31660,106795,37338
2017,"TX",48,8,863498,217701,143509,205984,146652,54833,22799,49371,22649
2017,"TX",48,9,789535,109062,45256,107010,45804,152756,74398,161180,94069
2017,"TX",48,10,846261,183057,112946,175649,125303,95499,28760,91279,33768
2017,"TX",48,11,759467,191254,124830,186827,137169,46420,16107,40519,16341
2017,"TX",48,12,806551,188790,117807,189833,134523,67660,22003,62985,22950
2017,"TX",48,13,713480,184670,120944,165642,130318,44598,15040,36460,15808
2017,"TX",48,14,765031,162742,110076,151532,116211,77339,38168,71150,37813
2017,"TX",48,15,790730,227931,97354,221642,112130,49117,20649,42129,19778
2017,"TX",48,16,742384,183700,91003,183895,112772,64632,25204,54965,26213
2017,"TX",48,17,771567,189699,99404,180529,110800,66913,26931,65081,32210
2017,"TX",48,21,809322,193487,141862,195426,161280,47076,15409,38598,16184
2017,"TX",48,18,800402,146685,59857,136084,58376,132410,61909,131632,73449
2017,"TX",48,19,734202,198448,108380,184980,121044,51324,14391,40467,15168
2017,"TX",48,20,806372,228934,100801,226083,122887,50029,17251,40959,19428
2017,"TX",48,22,897080,172067,102504,167770,107080,113911,54042,119745,59961
2017,"TX",48,23,769276,211916,110314,193053,115912,48242,20740,46379,22720
2017,"TX",48,24,800103,149534,101889,147659,112880,109396,33977,106212,38556
2017,"TX",48,25,789825,197515,128937,191315,140755,47555,16935,47875,18938
2017,"TX",48,26,879237,210983,127984,209667,134292,68885,25326,75120,26980
2017,"TX",48,27,740277,189003,124161,186868,135834,32880,19013,32174,20344
2017,"TX",48,28,753502,221143,100100,219894,115907,31979,14644,31990,17845
2017,"TX",48,29,761833,220102,82701,205083,88899,56941,27203,51454,29450
2017,"TX",48,30,774443,130919,53927,127307,53360,125085,63606,134293,85946
