StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"AL",1,1,713410,0.17624928161926523,0.15253500791970956,0.1731276545044224,0.17062138181410408,0.10033501072314657,5.274806913275676e-2,0.10852385024039472,6.585974404620064e-2
"AL",1,2,673776,0.17214623257581155,0.14388313029849684,0.16774714445156846,0.16181490584407873,0.12081908527463134,5.0663722067868254e-2,0.11826185557217829,6.466392391536653e-2
"AL",1,3,710488,0.18841416040805756,0.14846274673182375,0.1842494173019108,0.1656354505635563,0.10221284525565527,4.894382452624112e-2,0.10171600364819673,6.0365551564558445e-2
"AL",1,4,685553,0.23228984484058854,0.18995467892343845,0.23174429985719558,0.2127027377897843,4.5309407150140105e-2,1.8073000920424825e-2,4.5431935969939594e-2,2.4494094548488592e-2
"AL",1,5,718713,0.20543944523057187,0.16868485751614343,0.19646507020187473,0.1871678959473392,8.240841615498815e-2,3.536460311696046e-2,8.088625084004325e-2,4.3583460992078896e-2
"AL",1,6,700401,0.20829781796428046,0.1678795432902009,0.21511962432949125,0.19173444926549219,7.281971327853615e-2,2.781121100626641e-2,8.07351788475459e-2,3.5602462018186724e-2
"AL",1,7,672406,9.602383084029589e-2,7.060020285363307e-2,8.682551910601631e-2,7.789341558522678e-2,0.2022498312031719,0.10776971056177369,0.211796146970729,0.14684134287915337
"AK",2,0,739795,0.2006515318432809,0.13894930352327334,0.17700038524185754,0.12527389344345394,0.13580383754959144,4.605870545218608e-2,0.12659588129143884,4.9666461654917914e-2
"AZ",4,1,765810,0.18500672490565545,0.15238505634556873,0.16755069795380056,0.1597602538488659,0.11980909102780063,4.809678640916154e-2,0.11215575664982176,5.523563285932542e-2
"AZ",4,2,720429,0.2081093348546491,0.19150256305617902,0.19627888383171693,0.22055469727065402,6.835649314505662e-2,2.6943668286534828e-2,6.135927343291289e-2,2.6895086122296578e-2
"AZ",4,3,773297,0.22927542716446592,0.11816417236844318,0.22231173792216963,0.12992420764596269,0.11421743521570625,3.787677955559119e-2,0.10361866139400515,4.4611578733656024e-2
"AZ",4,4,771214,0.2044127829629649,0.24035352055330947,0.18657726649153153,0.2546323069861284,3.949617097199999e-2,1.9413547990570712e-2,3.4593511009914236e-2,2.052089303358082e-2
"AZ",4,5,822497,0.2421905490232791,0.1692869396484121,0.23745375363071233,0.19570770470895335,5.65813613909838e-2,1.9472411449525044e-2,5.5646403573508474e-2,2.3660876574625803e-2
"AZ",4,6,783087,0.21360844963586423,0.2046426514550746,0.20814545510268975,0.22362904760262908,5.507306340163992e-2,1.6991726334366426e-2,5.725928281276538e-2,2.065032365497065e-2
"AZ",4,7,833654,0.23268766178774408,9.948131958822246e-2,0.22817979641433978,0.10338941575281832,0.12480597466095046,4.3853925009656285e-2,0.12518742787775264,4.2414478908516004e-2
"AZ",4,8,777208,0.20301901164167122,0.19360969007009707,0.2033393891982584,0.22643745303702484,5.918750192998528e-2,2.4609885641938837e-2,5.909614929336805e-2,3.0700919187656328e-2
