StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"MN",27,6,716009,0.2681418808981451,0.18481331938565018,0.2514465600292734,0.1919975866225145,4.2065113706671285e-2,9.096254376690796e-3,4.3519006046013387e-2,8.920278935041319e-3
"MN",27,7,662695,0.2432748096786606,0.21317499000294254,0.22868740521657777,0.2233923599846083,3.838417371490656e-2,1.0585563494518594e-2,3.361878390511472e-2,8.881914002670912e-3
"MN",27,8,667310,0.2419685003971168,0.22662480706118596,0.22515472568970943,0.23359158412132291,3.0215342194782037e-2,9.17114984040401e-3,2.4570289670468e-2,8.703601025010865e-3
"MS",28,1,764896,0.18840731288959545,0.14546291260511232,0.18631552524787684,0.16171610258126595,0.1077754361377233,4.468450612893779e-2,0.10872197004560097,5.691623436388738e-2
"MS",28,2,701238,7.531964896368994e-2,7.38978777533448e-2,7.278128110570163e-2,8.286630216845066e-2,0.22182055165293382,0.10753980816784031,0.2325686856673483,0.13320584452069056
"MS",28,3,749247,0.16821021639058947,0.12835687029777898,0.16019283360493936,0.14600792529032483,0.1277776220658875,6.0407315611540655e-2,0.1311423335695705,7.790488316936871e-2
"MS",28,4,768719,0.1987579336532595,0.15388197767975034,0.19368976179852457,0.16771277931207632,9.411631558475854e-2,4.195941559919815e-2,9.963588775612416e-2,5.024592861630843e-2
"MO",29,1,729026,0.11901221629955584,9.176627445386036e-2,0.11664467385251007,0.10038873785022756,0.1777837827457457,8.239898165497526e-2,0.19631535775130105,0.11568997539182416
"MO",29,2,764043,0.22520722001248622,0.201729483811775,0.219841029889679,0.23639899848568732,4.2199195595012326e-2,1.7521265164395197e-2,3.695210871639423e-2,2.0150698324570736e-2
"MO",29,3,792954,0.2665829291484752,0.19542117197214467,0.2533387813164446,0.20957583920378736,2.8948715814536532e-2,8.705423013188659e-3,2.5473104366709798e-2,1.1954035164713212e-2
"MO",29,4,769533,0.26095437102762326,0.18173229738035926,0.24553592893352202,0.2036624810112107,4.366934231540428e-2,1.3383441645777374e-2,3.683402791043399e-2,1.422810977566914e-2
"MO",29,5,770628,0.19292576963204036,0.14414737071583175,0.1849556465635819,0.1597683966842627,0.10703478202193535,4.466227544288554e-2,0.11096404490882761,5.554171403063476e-2
"MO",29,6,773740,0.24901129578411352,0.18732261483185567,0.24684777832346783,0.20848476232326105,3.883604311525835e-2,1.3801793884250523e-2,4.093623180913485e-2,1.4759479928658205e-2
"MO",29,7,777380,0.2593544984434897,0.18780519179809102,0.2565862255267694,0.212547274177365,3.183771128662945e-2,1.1097532738171809e-2,3.0077954153695748e-2,1.0693611875787903e-2
"MO",29,8,736228,0.25410878151876864,0.20697664310512504,0.2374210163155979,0.224488881161814,3.099447453777906e-2,1.152088755113905e-2,2.200812791689531e-2,1.248118789288101e-2
"MT",30,0,1050493,0.24364274678650882,0.20294852036139222,0.2290686372969644,0.21016037232042478,4.003453616540044e-2,1.4431319390038772e-2,4.368615497675853e-2,1.602771270251206e-2
"NE",31,1,648060,0.2671048976946579,0.17465358145850693,0.25358145850692837,0.18901799216121964,4.881955374502361e-2,1.1778230410764435e-2,4.2772274172144555e-2,1.227201185075456e-2
