StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGrads,AverageHouseholdSize,PovertyCount
"FL",12,16,814209,59437.0,47.3,122934,2.55,81207
"FL",12,17,778091,49449.0,51.5,80488,2.54,107804
"FL",12,18,772184,58754.0,47.7,119846,2.6,77327
"FL",12,19,814074,56828.0,51.3,124222,2.56,84535
"FL",12,20,776092,44436.0,36.6,69613,3.06,134171
"FL",12,21,788240,58410.0,46.1,126455,2.64,94331
"FL",12,22,757352,62353.0,45.1,139872,2.46,84627
"FL",12,23,753950,66872.0,41.0,132922,2.8,76219
"FL",12,24,770480,41172.0,37.0,71369,3.15,155331
"FL",12,25,780826,50120.0,42.7,89806,3.12,125129
"FL",12,26,797160,56496.0,38.7,108722,3.45,113422
"FL",12,27,755809,56183.0,42.1,133944,2.74,112304
"GA",13,1,747334,51223.0,35.6,74860,2.62,119759
"GA",13,2,674100,37569.0,36.0,45276,2.59,158438
"GA",13,3,738066,58949.0,38.6,89249,2.66,102161
"GA",13,4,765854,57349.0,36.4,91964,2.9,107937
"GA",13,5,784370,51810.0,33.0,120915,2.45,142775
"GA",13,6,756389,92317.0,37.8,199812,2.64,54089
"GA",13,7,807492,74868.0,36.1,147299,3.04,80273
"GA",13,8,702262,45279.0,37.5,62174,2.63,133792
"GA",13,9,755181,56754.0,41.4,75395,2.82,99585
"GA",13,10,736838,53479.0,36.4,72931,2.73,111380
"GA",13,11,768968,72445.0,36.9,137929,2.64,74186
"GA",13,12,722937,43177.0,35.9,61046,2.79,135186
"GA",13,13,752631,55682.0,36.1,82991,2.79,95371
"GA",13,14,716957,50132.0,37.8,49770,2.75,102770
"HI",15,1,714328,80083.0,39.7,120131,2.95,54600
"HI",15,2,713210,75289.0,38.6,96862,3.09,77949
"ID",16,1,890052,53561.0,38.2,103077,2.7,109245
"ID",16,2,826891,51307.0,34.2,99723,2.7,107064
"IL",17,1,720977,50744.0,38.7,78097,2.62,126682
"IL",17,2,702756,50391.0,37.9,61680,2.73,129439
"IL",17,3,725538,65230.0,37.7,92087,2.91,71427
"IL",17,4,700585,53955.0,33.7,78803,3.15,110042
"IL",17,5,729300,82210.0,35.6,180046,2.41,56824
"IL",17,6,720542,98889.0,40.4,160712,2.71,37246
"IL",17,7,697263,58444.0,34.6,112887,2.33,142629
"IL",17,8,713012,69386.0,37.3,106562,2.79,63945
"IL",17,9,732614,70552.0,40.2,164305,2.46,86820
"IL",17,10,714681,80229.0,38.2,120248,2.75,59992
"IL",17,11,721823,75446.0,36.9,106025,2.88,59230
"IL",17,12,695178,48570.0,39.5,64614,2.44,122204
"IL",17,13,698295,51129.0,36.6,81952,2.32,124030
"IL",17,14,746748,92461.0,39.2,130189,2.84,39416
"IL",17,15,701482,52527.0,40.6,62586,2.43,91994
"IL",17,16,690420,60326.0,40.3,63286,2.49,74050
"IL",17,17,689744,48036.0,40.7,60153,2.36,110519
"IL",17,18,701065,65048.0,40.5,105671,2.44,63264
"IN",18,1,714257,56293.0,39.2,76383,2.56,102950
"IN",18,2,722928,53440.0,37.9,65774,2.6,95916
"IN",18,3,744914,53197.0,37.2,74147,2.56,87315
"IN",18,4,758815,56721.0,36.8,80698,2.55,90819
"IN",18,5,781441,71573.0,38.5,158118,2.52,62820
"IN",18,6,720147,52636.0,40.3,70334,2.48,91206
"IN",18,7,755875,42630.0,33.5,76736,2.58,146135
"IN",18,8,714623,50666.0,39.1,68218,2.41,98616
"IN",18,9,753818,54504.0,38.0,82860,2.5300000000000002,95470
"IA",19,1,774043,57295.0,39.1,96770,2.42,78259
"IA",19,2,780802,54758.0,38.2,95514,2.45,93101
"IA",19,3,835190,65023.0,37.1,126005,2.5,72814
"IA",19,4,755676,55496.0,39.2,88341,2.32,82462
"KS",20,1,702327,49380.0,35.4,75051,2.46,92739
"KS",20,2,715120,53483.0,37.9,86596,2.41,87500
"KS",20,3,770493,74120.0,36.7,149759,2.6,60495
"KS",20,4,725183,53657.0,36.7,92136,2.56,95753
"KY",21,1,716177,41930.0,40.3,44945,2.49,124257
"KY",21,2,760681,50289.0,38.4,58581,2.5300000000000002,109874
"KY",21,3,746559,53677.0,37.9,97498,2.4,102498
"KY",21,4,760043,62095.0,39.0,90284,2.66,88396
"KY",21,5,696337,31731.0,40.9,34705,2.52,195261
"KY",21,6,774392,52156.0,37.1,97903,2.45,123953
"LA",22,1,808968,58199.0,38.3,108846,2.61,112361
"LA",22,2,797298,37340.0,36.6,74248,2.64,210533
"LA",22,3,788118,47741.0,36.1,78947,2.67,137035
"LA",22,4,753143,37102.0,37.1,61601,2.54,169367
"LA",22,5,740217,37415.0,37.5,60827,2.59,173578
"LA",22,6,796589,62374.0,35.6,97970,2.67,96165
"ME",23,1,683279,64599.0,44.0,117832,2.39,58033
"ME",23,2,652628,48603.0,45.1,76028,2.42,85979
"MD",24,1,734002,73206.0,42.6,97110,2.65,61996
"MD",24,2,765155,68204.0,36.3,100401,2.61,77689
"MD",24,3,763763,87732.0,37.3,132208,2.57,58749
"MD",24,4,761353,81151.0,38.1,97977,2.82,60329
"MD",24,5,768507,96325.0,38.2,105769,2.86,52801
"MD",24,6,779616,79247.0,38.9,116301,2.7199999999999998,74995
"MD",24,7,718158,60929.0,38.9,99715,2.55,115285
"MD",24,8,761623,100953.0,40.4,139609,2.67,47327
"MA",25,1,736460,55465.0,40.8,88906,2.46,100985
"MA",25,2,744124,67531.0,39.6,116678,2.52,76998
"MA",25,3,769115,75654.0,39.1,110491,2.73,83211
"MA",25,4,752077,100742.0,41.1,136612,2.59,50389
"MA",25,5,766210,98775.0,38.1,145535,2.55,57255
"MA",25,6,774450,85951.0,42.9,151946,2.57,57904
"MA",25,7,806820,64310.0,31.7,127508,2.48,141638
"MA",25,8,762640,90323.0,39.8,153353,2.5,58656
"MA",25,9,747923,71685.0,46.1,115557,2.45,65165
"MI",26,1,698974,48416.0,46.6,86198,2.37,88408
"MI",26,2,737365,56103.0,37.6,91014,2.56,84230
"MI",26,3,743830,58999.0,37.1,106115,2.61,84494
"MI",26,4,702994,49448.0,41.6,66106,2.4699999999999998,97860
"MI",26,5,677788,44383.0,41.8,59839,2.35,124574
"MI",26,6,718436,53414.0,38.7,83411,2.45,94037
"MI",26,7,701645,58899.0,42.3,72302,2.4699999999999998,73019
"MI",26,8,736333,71702.0,38.4,116925,2.55,79014
"MI",26,9,720890,58742.0,40.3,96835,2.34,88896
"MI",26,10,717703,63156.0,43.0,74208,2.52,68042
"MI",26,11,727901,82545.0,42.0,146409,2.5,43045
"MI",26,12,708060,57034.0,35.9,81196,2.48,112575
"MI",26,13,674157,35365.0,36.4,45386,2.5,196831
"MI",26,14,696235,46500.0,37.4,75431,2.51,142741
"MN",27,1,675755,61310.0,38.3,84479,2.46,73972
"MN",27,2,705074,81885.0,37.5,125635,2.65,36912
"MN",27,3,714299,89442.0,40.4,157011,2.55,35412
"MN",27,4,714075,68684.0,36.0,124879,2.56,81344
"MN",27,5,721389,63202.0,33.8,146349,2.34,103103
"MN",27,6,716009,79826.0,37.0,101889,2.73,40224
"MN",27,7,662695,55745.0,40.8,72411,2.45,70964
"MN",27,8,667310,56055.0,42.8,76227,2.42,75545
"MS",28,1,764896,47681.0,38.1,65430,2.73,118631
"MS",28,2,701238,35842.0,36.7,51619,2.63,175751
"MS",28,3,749247,45475.0,37.5,77074,2.61,142020
"MS",28,4,768719,45442.0,37.4,71097,2.63,134817
"MO",29,1,729026,45789.0,36.0,88670,2.3,126348
"MO",29,2,764043,79497.0,42.8,156037,2.44,43449
"MO",29,3,792954,64529.0,38.9,95236,2.67,75531
"MO",29,4,769533,50963.0,36.9,79926,2.55,102547
"MO",29,5,770628,50663.0,36.9,93044,2.39,111214
"MO",29,6,773740,58778.0,38.6,90204,2.56,80014
"MO",29,7,777380,47225.0,37.9,86411,2.49,114021
"MO",29,8,736228,40542.0,40.9,54269,2.55,142608
"MT",30,0,1050493,53386.0,40.0,157326,2.41,127777
"NE",31,1,648060,60341.0,35.6,87515,2.4699999999999998,66581
"NE",31,2,668800,66390.0,34.9,112528,2.55,66465
"NE",31,3,603216,52434.0,39.9,63287,2.4,67863
"NV",32,1,720730,41281.0,36.5,51428,2.74,133592
"NV",32,2,720704,61225.0,39.7,89351,2.51,72356
"NV",32,3,803545,70804.0,39.3,124240,2.69,77493
"NV",32,4,753060,59714.0,36.7,75091,2.9,100679
"NH",33,1,673194,73488.0,42.0,111604,2.43,54869
"NH",33,2,669601,73249.0,44.3,105146,2.49,45097
"NJ",34,1,729675,69804.0,39.4,103373,2.63,72432
"NJ",34,2,713380,65467.0,42.2,88017,2.62,93870
"NJ",34,3,746035,82301.0,43.5,117468,2.61,48107
"NJ",34,4,756825,86365.0,40.7,136155,2.74,69183
"NJ",34,5,746385,100607.0,42.6,152591,2.8,39322
"NJ",34,6,742483,82451.0,37.7,124048,2.8,76163
"NJ",34,7,754222,113993.0,43.1,151275,2.8,39360
"NJ",34,8,777484,59257.0,35.0,120030,2.77,118935
"NJ",34,9,769504,67624.0,37.8,117799,2.85,110859
"NJ",34,10,781893,54440.0,35.9,105705,2.79,127702
"NJ",34,11,729569,112348.0,43.3,161044,2.68,25657
"NJ",34,12,758189,85595.0,39.5,129394,2.79,61083
"NM",35,1,696688,50159.0,38.6,88503,2.52,107270
"NM",35,2,694692,42507.0,35.6,53497,2.74,145364
"NM",35,3,696690,47325.0,38.4,69995,2.75,149121
"NY",36,1,718652,92284.0,42.7,102279,2.88,44356
"NY",36,2,721373,97387.0,39.2,91813,3.27,52501
"NY",36,3,725627,107412.0,45.4,144278,2.84,42341
"NY",36,4,728807,102205.0,40.6,116642,3.05,48756
"NY",36,5,798555,70481.0,37.5,97758,3.45,87172
"NY",36,6,761797,62278.0,40.9,115755,2.79,91568
"NY",36,7,755717,56197.0,33.5,108118,2.94,171279
